month,score,level,level_label,data_quality_pct,rule_agreement_pct,event,max_drawdown_pct,lead_time_days
2023-01-01,37,caution,注意,77,70,False,-2.6112493931818617,
2023-02-01,42,caution,注意,77,57,False,3.5051612577108933,
2023-03-01,38,caution,注意,77,70,False,1.464234166248112,
2023-04-01,35,caution,注意,77,68,False,0.24823473681929992,
2023-05-01,39,caution,注意,77,68,False,6.472746490423457,
2023-06-01,37,caution,注意,95,59,False,-3.6475555435598572,
2023-07-01,37,caution,注意,95,68,False,-8.611104904242199,
2023-08-01,35,caution,注意,95,74,False,-6.962821967120206,
2023-09-01,40,caution,注意,95,63,False,-2.197968873798299,
2023-10-01,40,caution,注意,95,59,False,8.917926878197004,
2023-11-01,32,caution,注意,95,68,False,4.422923115636011,
2023-12-01,33,caution,注意,95,68,False,1.5895707598991546,
2024-01-01,35,caution,注意,95,68,False,3.9218689524098966,
2024-02-01,32,caution,注意,95,68,False,-1.1887140573954929,
2024-03-01,32,caution,注意,95,74,False,-4.161507173789873,
2024-04-01,35,caution,注意,95,74,False,4.8021190151199065,
2024-05-01,31,caution,注意,95,74,False,3.4669801283083252,
2024-06-01,31,caution,注意,95,74,False,1.1321316887868735,
2024-07-01,35,caution,注意,95,68,False,2.2834706936630336,
2024-08-01,33,caution,注意,95,68,False,1.0100257410081308,
2024-09-01,33,caution,注意,95,72,False,-0.9896743303151727,
2024-10-01,37,caution,注意,95,58,False,3.0879191206461885,
2024-11-01,29,caution,注意,95,74,False,-2.499013704848363,
2024-12-01,30,caution,注意,95,74,False,-4.586820159231878,
2025-01-01,22,calm,平常,95,79,False,-7.80510556741348,
2025-02-01,38,caution,注意,95,60,False,-6.47308659679654,
2025-03-01,43,caution,注意,95,54,False,-0.7624943346289837,
2025-04-01,38,caution,注意,95,66,False,6.152382614078288,
2025-05-01,27,caution,注意,95,80,False,4.960683946771579,
2025-06-01,22,calm,平常,95,82,False,2.166656253064078,
2025-07-01,23,calm,平常,95,74,False,1.9066444295036207,
2025-08-01,22,calm,平常,95,82,False,3.5323687218701596,
2025-09-01,19,calm,平常,95,82,False,2.2686871904923698,
2025-10-01,19,calm,平常,95,82,False,0.07748025695405651,
2025-11-01,20,calm,平常,95,82,False,-0.05241344225139403,
2025-12-01,16,calm,平常,95,89,False,-4.630486896044847,
2026-01-01,17,calm,平常,95,89,False,-5.915953358539393,
2026-02-01,24,calm,平常,95,82,False,-5.093269096857696,
2026-03-01,34,caution,注意,95,81,False,10.423338582985755,
2026-04-01,19,calm,平常,95,89,False,5.147035515724275,
2026-05-01,19,calm,平常,100,83,False,0.3920777188144548,
